source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,teff_val,a_g_val
5.98644E+17,132.6450813,0.55877151,10.88947508,0.358758377,1.192924051,0.797712086,0.013689609,-4.20829183,19.998798,0.80210304,0.24188995,0.5602131,,,NOT_AVAILABLE,216.5775819,31.35158426,,
5.98694E+17,132.7932851,1.061319914,11.26598519,0.68162785,2.247905361,1.308179695,3.667495799,-3.363785247,20.571629,1.000721,-0.1385498,1.1392708,,,NOT_AVAILABLE,216.2503539,31.64324172,,
5.98666E+17,132.9443933,0.782151463,10.97760312,0.565744478,0.565735648,0.941612775,0.154603284,-7.540131225,20.519194,1.0797806,0.17499733,0.90478325,,,NOT_AVAILABLE,216.6310205,31.65499061,,
5.98689E+17,132.9650122,3.728311457,11.18743333,3.779049342,,,,,21.069332,,,,,,NOT_AVAILABLE,216.4178879,31.76251635,,
5.98674E+17,133.1720212,0.756181079,11.11792872,0.470318755,1.091880471,1.001645557,-0.805564658,-3.889970189,20.316666,1.178505,0.21092987,0.9675751,,,NOT_AVAILABLE,216.5934844,31.91687795,,
5.98872E+17,132.2634583,0.185818886,11.33608714,0.140680341,2.117622568,0.292845246,-12.96145815,-3.613180478,18.184793,2.5620136,1.3638649,1.1981487,,,NOT_AVAILABLE,215.9184719,31.20205725,,
5.98683E+17,132.762948,1.709950272,11.12387382,1.027851503,0.596072668,1.82549738,-6.195430565,-6.56935212,20.978569,0.88912773,-0.35545158,1.2445793,,,NOT_AVAILABLE,216.3866502,31.55603536,,
5.98684E+17,132.7522882,2.532041538,11.14005335,1.343892611,,,,,20.846495,2.362009,0.8461399,1.5158691,,,NOT_AVAILABLE,216.3642484,31.553434,,
5.98872E+17,132.232774,1.290152877,11.37331694,0.825643321,1.009522612,1.484162162,-5.436155022,-0.905303613,20.866402,1.338623,0.16392899,1.1746941,,,NOT_AVAILABLE,215.8641707,31.19050009,,
5.98665E+17,132.9925262,8.082264418,10.93013855,9.098045019,,,,,21.171087,,,,,,NOT_AVAILABLE,216.7051358,31.67750272,,
5.9866E+17,132.5226152,0.818176932,11.0045231,0.480606579,1.746249182,1.212863482,-16.4671551,-8.175513352,20.312368,2.1121616,0.91804886,1.1941128,,,NOT_AVAILABLE,216.3957809,31.29180724,,
5.98696E+17,132.8637137,6.976463856,11.34358808,2.889028654,,,,,21.25798,,,,,,NOT_AVAILABLE,216.2020544,31.73865018,,
5.98853E+17,132.2169974,0.187671131,11.11475695,0.135954975,1.002048103,0.235352521,9.420852304,-5.952160751,18.54927,2.2599735,1.1453724,1.1146011,,,NOT_AVAILABLE,216.1302164,31.0670959,,
5.98852E+17,132.3495122,0.348593401,11.11707337,0.254661713,1.123630457,0.495918968,-10.86169558,-15.27693504,19.43945,2.3470745,1.1948624,1.1522121,,,NOT_AVAILABLE,216.1922024,31.18582781,,
5.98852E+17,132.2660359,0.088188633,11.07321355,0.060589612,0.407802203,0.116937873,2.057451666,-5.758078482,17.172653,1.1002655,0.48301506,0.61725044,,,NOT_AVAILABLE,216.1979829,31.09304078,,
5.9866E+17,132.5954858,0.079569724,11.02040612,0.054676324,0.448028424,0.115344831,-4.87634133,3.237367332,16.901947,0.90958977,0.36934662,0.54024315,,,NOT_AVAILABLE,216.4145724,31.36329829,5414.15,0.017
5.98627E+17,133.2253796,1.180931202,11.06618936,0.632809996,1.602447601,1.487616331,-2.662839531,-2.461912787,20.25596,2.0229683,0.79254913,1.2304192,,,NOT_AVAILABLE,216.6748998,31.94226085,,
5.98665E+17,133.0239848,0.191304898,10.93408385,0.147744652,2.790509142,0.244612837,-16.12454809,-8.205477821,18.44648,2.9083004,1.5885696,1.3197308,,,NOT_AVAILABLE,216.7164259,31.70712242,,
5.98847E+17,132.3941254,4.026138815,11.01549147,3.182923163,,,,,21.007256,,,,,,NOT_AVAILABLE,216.321436,31.1823221,,
5.98659E+17,132.4016267,0.032968226,10.95700417,0.020623767,0.638988466,0.042640979,-5.493437543,5.565211158,14.857047,0.72654724,0.28170967,0.44483757,,,NOT_AVAILABLE,216.3869604,31.16410345,6377.05,0.257
5.98644E+17,132.7074307,0.317491793,10.89061108,0.193904227,0.156263876,0.395313669,-0.737202072,-4.637391838,19.357912,1.0144253,0.44932365,0.5651016,,,NOT_AVAILABLE,216.6069694,31.40744587,,
5.9885E+17,132.4329614,0.096487118,11.10917004,0.064901676,0.413748209,0.145555999,-4.917449619,-6.780292122,17.242672,0.72332764,0.28102684,0.4423008,,,NOT_AVAILABLE,216.2412018,31.25662098,,
5.98656E+17,132.6558039,0.402590784,10.91763575,0.288522126,0.931554939,0.585209773,-7.406825086,5.913676331,19.448042,2.1785755,1.1058292,1.0727463,,,NOT_AVAILABLE,216.5530092,31.37311616,,
5.98642E+17,132.7453865,0.039496179,10.83405198,0.026324902,0.870331515,0.049681577,-2.619636799,-12.139644,15.779871,1.0291071,0.42890358,0.6002035,,,NOT_AVAILABLE,216.6855442,31.41701281,5187.58,0.2052
5.98866E+17,132.2005718,1.111358701,11.20343345,0.742730927,0.61890892,1.163660899,-2.974863619,-9.455676898,20.581537,2.1330547,0.9140434,1.2190113,,,NOT_AVAILABLE,216.0284608,31.0900777,,
5.98679E+17,133.0600326,19.68141348,11.18901032,4.3319138,,,,,21.088522,,,,,,NOT_AVAILABLE,216.4627447,31.84759401,,
5.98644E+17,132.7045732,14.36843648,10.88438249,2.908584495,,,,,20.969576,2.4662971,0.96797943,1.4983177,,,NOT_AVAILABLE,216.6121671,31.40225079,,
5.98666E+17,132.9508339,1.768840735,10.98475187,1.611317728,,,,,20.804422,1.8154812,0.3983364,1.4171448,,,NOT_AVAILABLE,216.626587,31.66375645,,
5.98662E+17,132.8577761,0.695437788,10.85066689,0.415329078,2.080596755,0.883127492,-10.90302074,-14.28835753,20.432606,2.5070972,1.097662,1.4094353,,,NOT_AVAILABLE,216.7232061,31.52391776,,
5.98858E+17,132.1560083,0.153611086,11.09344316,0.110626333,0.657717712,0.187904985,-1.342195367,-0.48112153,18.322754,1.5008926,0.6657295,0.8351631,,,NOT_AVAILABLE,216.1231116,31.00385889,,
5.98674E+17,133.1978057,2.149085081,11.12190188,1.142016356,3.5016312,2.16022978,-79.11056516,-66.3517311,20.834726,1.7727985,0.39002037,1.3827782,,,NOT_AVAILABLE,216.6019185,31.94146776,,
5.98657E+17,132.6414526,0.916341858,10.98086279,0.624505621,0.894381864,1.39079421,-1.668889177,-2.92162075,20.579193,1.3839436,0.4084339,0.97550964,,,NOT_AVAILABLE,216.4789752,31.38730421,,
5.98656E+17,132.6013216,0.857302016,10.91347668,0.480122255,1.215615185,1.592601338,-13.60059508,-6.576687176,20.3671,2.1085815,0.9996929,1.1088886,,,NOT_AVAILABLE,216.5307117,31.32295079,,
5.98871E+17,132.0905706,0.818325352,11.30518645,0.604170061,1.920705059,1.014209427,0.528104256,-13.3553959,20.302717,1.5952568,0.07760239,1.5176544,,,NOT_AVAILABLE,215.8675571,31.03534397,,
5.98667E+17,132.8121719,0.037018949,10.93416288,0.023939697,0.656003517,0.050309098,17.24479798,-8.419967963,15.486051,0.8201103,0.3225355,0.4975748,,,NOT_AVAILABLE,216.6122054,31.51904502,5713,0.1075
5.98688E+17,132.6458795,6.566834778,11.19477122,3.897964895,,,,,21.084412,,,,,,NOT_AVAILABLE,216.2541797,31.4821049,,
5.9885E+17,132.4490959,0.101926362,11.09474289,0.06953563,0.893299493,0.151657201,9.375144961,-0.723079096,17.399342,1.5469666,0.7194233,0.82754326,,,NOT_AVAILABLE,216.2643454,31.26483238,,
5.98852E+17,132.2877038,0.679270551,11.09386402,0.528185522,1.045291485,0.988761576,-2.572322362,0.960233508,20.222446,1.7311954,0.6958885,1.0353069,,,NOT_AVAILABLE,216.186687,31.12105946,,
5.98625E+17,133.1280893,5.603951331,11.00356856,7.119860605,,,,,21.203762,,,,,,NOT_AVAILABLE,216.6937408,31.82919423,,
5.98859E+17,132.1557889,0.328304425,11.1328709,0.257048844,1.146164571,0.390903924,-16.0602482,-8.992600246,19.414576,2.6363983,1.3230762,1.3133221,,,NOT_AVAILABLE,216.0813439,31.02038588,,
5.98685E+17,132.5972685,0.657321151,11.10524146,0.369007452,1.545384533,0.810119501,-9.220209219,-3.589740315,20.259604,1.8849182,0.7434006,1.1415176,,,NOT_AVAILABLE,216.325491,31.40093455,,
5.98872E+17,132.2391311,0.687810645,11.33382206,0.440475106,1.309595556,0.860553254,-5.953513377,-3.528930198,20.165125,1.901207,0.8291664,1.0720406,,,NOT_AVAILABLE,215.9090974,31.1794792,,
5.9885E+17,132.3969776,0.142349514,11.0955235,0.098146075,-0.110473193,0.203081521,-3.337973429,0.263059247,18.081663,0.98028946,0.42315102,0.55713844,,,NOT_AVAILABLE,216.2381244,31.21885684,,
5.98871E+17,132.1022883,0.459394696,11.29888424,0.324775975,2.547517065,0.574203853,-21.33162045,-0.514856773,19.594324,2.3723412,1.0642147,1.3081264,,,NOT_AVAILABLE,215.8798891,31.0430966,,
5.98656E+17,132.6511558,0.314360351,10.93560199,0.206848173,-0.471460216,0.492890833,-2.194756221,-3.577176055,19.283203,1.0704155,0.41871834,0.65169716,,,NOT_AVAILABLE,216.5316948,31.37664514,,
5.98866E+17,132.1815481,0.596998753,11.22043848,0.463494526,2.92922794,0.709845852,-6.92875879,-0.149366372,20.091137,2.3211555,1.1089878,1.2121677,,,NOT_AVAILABLE,216.0012476,31.0803695,,
